Sl No,User Type,Power Transmit (dB),Distance (m),Pass Loss Exponent,Shadowing Effect,Power Received (dB),Label
144,SU,19,60,3.012852945555162,5,8.642691767639045,SU
145,SU,18,109,2.477363276595363,6,6.9525544152396,SU
146,SU,10,94,3.0333109215950236,3,1.014889731972688,SU
147,SU,15,56,2.4672961558476416,6,4.686702401268729,SU
148,SU,12,140,3.9452989536661356,9,-5.467116693594912,SU
149,SU,16,126,3.1483109249805805,1,8.38738046629896,SU
150,SU,15,114,3.7612916311745503,0,7.263380996545792,SU
151,SU,15,112,2.8066242947120337,8,1.2486149124121138,SU
152,SU,16,90,3.0025443937222605,9,1.1323001093092344,SU
153,SU,15,63,2.8974889389096496,7,2.7864306606266354,SU
154,SU,18,111,3.1152189164910444,4,7.628371166149993,SU
155,SU,10,84,2.2940873876389682,5,0.5855351595505196,SU
156,SU,11,100,2.5549739630307435,9,-3.109947926061487,SU
157,SU,18,118,2.2733613063097367,1,12.289863613350906,SU
158,SU,11,86,3.2097854820852363,2,2.7906749560820225,SU
159,SU,12,54,2.500313352743042,6,1.6684727501059085,SU
160,SU,19,86,3.8986500574685916,6,5.458067501886363,SU
161,SU,13,51,2.454304327313872,1,7.809103127610724,SU
162,SU,18,129,3.497370402411864,5,5.618486015564377,SU
163,SU,10,89,3.3362965398985365,1,2.4962568659177924,SU
164,SU,16,132,3.055659149461317,6,3.5202488650016903,SU
165,SU,10,133,3.2191736569269818,8,-4.8370472538223845,SU
166,SU,13,95,3.9433652743072733,0,5.201113412726173,SU
167,SU,13,57,3.5699537382111464,0,6.731607995161032,SU
168,SU,14,75,2.1690430956400455,6,3.932911312738131,SU
169,SU,11,143,2.6804939739464584,4,1.2226347397452635,SU
170,SU,15,109,3.072607468170784,2,6.739788126578592,SU
171,SU,16,71,3.2634693558320453,1,8.958475109227063,SU
172,SU,13,130,2.4241940285043686,1,6.875391148741259,SU
173,SU,19,52,2.618407809847829,7,7.506803443301653,SU
174,SU,14,52,2.110221413479796,4,6.3788529986589175,SU
175,SU,15,120,3.438727370328176,0,7.850262541342991,SU
176,SU,10,52,2.8289878608166505,5,0.14544737173636957,SU
177,SU,19,97,3.6443087973520676,3,8.7595902904831,SU
178,SU,11,149,3.3309269531595964,3,0.7612752843092316,SU
179,SU,15,127,2.5789489247013284,2,7.574397656057982,SU
180,SU,19,110,3.4037668644082957,0,12.051575221012957,SU
181,SU,13,55,3.948110656867839,0,6.1288555187926015,SU
182,SU,13,59,3.6037826419216517,1,5.618234259032002,SU
183,SU,12,102,3.765426382277571,6,-1.5632360781995853,SU
184,SU,19,112,2.6673467299833016,7,6.534025008207845,SU
185,SU,18,140,3.902091870350027,7,2.6256112392496735,SU
186,SU,15,119,2.3629008222150323,7,3.095688378379677,SU
187,SU,10,76,3.8716037630797495,7,-4.281764981525853,SU
188,SU,14,93,2.8115627059928325,7,1.4654867544629475,SU
189,SU,16,146,2.652927119737207,3,7.258129612208794,SU
190,SU,12,71,3.3328240836625973,9,-3.169918409692385,SU
191,SU,19,130,3.4648761154529533,3,8.675448169171492,SU
192,SU,14,112,3.8886098458513803,6,0.031390620748635634,SU
193,SU,17,69,2.5051913842016242,4,8.393331101038036,SU
194,SU,10,55,2.641296490832573,6,-0.5968138645370846,SU
195,SU,12,53,2.8587869840806435,4,3.070662587020931,SU
196,SU,18,148,3.0220875462197645,8,3.441279097867355,SU
197,SU,11,112,2.1437640734444665,7,-0.3930399756552436,SU
198,SU,19,135,2.8752148143405662,0,12.874832789333192,SU
199,SU,12,57,3.2062826298589853,5,1.3701689500511378,SU
200,SU,12,146,2.8705329813623064,4,1.787153744165078,SU
201,SU,19,85,2.8149619103260157,5,8.568759215052125,SU
202,SU,12,129,2.3153773360080865,7,0.11318841916124622,SU
203,SU,12,59,2.4178705691140125,8,-0.2816909612058849,SU
204,SU,17,126,3.843570698617361,9,-0.07292268345283937,SU
205,SU,11,89,2.4206969683522375,6,0.28111752077851193,SU
206,SU,12,118,3.624626578517038,6,-1.5097985912330145,SU
207,SU,12,98,2.335200221047416,5,2.350088427887507,SU
208,SU,15,50,3.1241049852757783,4,5.692239339619833,SU
209,SU,14,72,3.0318913830872987,8,0.3687696085420171,SU
210,SU,18,115,3.7294172904676324,0,10.314797843755931,SU
211,SU,12,87,2.661272454710298,2,4.838410837625767,SU
212,SU,11,87,3.4628437547300663,4,0.28374786889089076,SU
213,SU,15,77,2.663224797550321,8,1.97585112037196,SU
214,SU,10,82,2.042096178925709,7,-0.9081919551278785,SU
215,SU,18,87,2.9556085507454366,5,7.267540312625012,SU
216,SU,12,108,3.707685848577621,0,4.460703517619475,SU
217,SU,12,93,3.186569785984987,9,-3.2727082880886087,SU
218,SU,18,80,3.7042362094761945,7,3.950505160292863,SU
219,SU,12,65,3.337031029893284,0,5.950251874374802,SU
220,SU,11,107,2.7772169361976644,6,-0.6360389974321601,SU
221,SU,17,64,3.7487113369285625,0,10.229152654993268,SU
222,SU,12,84,3.4595626767625856,2,3.34283520227296,SU
223,SU,10,133,3.731072578465869,3,-0.9242446183420325,SU
224,SU,16,135,3.077694302153561,5,4.443483899017597,SU
225,SU,19,70,3.0573906225867424,6,7.358814554707234,SU
226,SU,19,110,2.8356898819331233,7,6.211243417644532,SU
227,SU,10,107,3.552204408336658,7,-4.208786001300302,SU
228,SU,18,111,2.3670699043699557,1,12.158577532197793,SU
229,SU,10,122,3.3998701366595565,9,-6.093352482637166,SU
230,SU,18,95,2.795166084177298,8,4.471934054619762,SU
231,SU,12,102,2.437228254903517,0,7.104582908577797,SU
232,SU,14,117,2.673414771427117,3,5.47088136715109,SU
233,SU,18,128,2.398679827690948,3,9.945477953096404,SU
234,SU,18,82,3.294564755411428,1,10.694816333518439,SU
235,SU,13,119,3.0561736220654074,7,-0.3432318747658618,SU
236,SU,19,64,2.5902041241215246,4,10.321625182481228,SU
237,SU,18,67,3.8585314227879834,6,4.954032993417494,SU
238,SU,11,139,3.3140161367755416,7,-3.101985629390885,SU
239,SU,10,107,3.2612559673133203,1,2.381660045055261,SU
240,SU,14,135,2.8991195732062263,1,6.823907674293946,SU
241,SU,15,95,3.9860483344930073,1,6.116698117050882,SU
242,SU,14,50,2.075041746320484,4,6.474566315256467,SU
243,SU,14,100,3.80034289274884,5,1.3993142145023203,SU
244,SU,18,81,2.61438436977933,5,8.010486596685649,SU
245,SU,10,119,3.269128728587668,4,-0.7852301990211625,SU
246,SU,16,78,2.225422139071921,3,8.789290781954115,SU
247,SU,18,78,2.3736370491455245,8,5.508854150565593,SU
248,SU,10,96,2.8193901166163005,7,-2.5887959228845663,SU
249,SU,16,53,2.6489007470099826,1,10.432564360963182,SU
250,SU,17,121,3.0140366903029916,9,1.7224084758399165,SU
251,SU,16,59,3.0640535174836807,6,4.574014664784837,SU
252,SU,17,131,2.1633882050545448,8,4.419520252077765,SU
253,SU,11,105,2.8971138588591074,8,-2.8556155297132433,SU
254,SU,16,71,3.396343944191096,2,7.712489918194761,SU
255,SU,11,61,2.748140989064128,2,4.093661901407813,SU
256,SU,13,138,2.5702295156629362,4,3.5000196121817035,SU
257,SU,12,52,2.3829779976510768,8,-0.08919821177740683,SU
258,SU,11,60,2.789601991225208,7,-0.9603342687698051,SU
259,SU,11,72,3.8039499253233364,2,1.9348001888996702,SU
260,SU,13,68,2.7728149966072033,0,7.918791805431788,SU
261,SU,14,104,3.8213483401520225,6,0.29221299683931523,SU
262,SU,10,67,2.9798654818950707,6,-1.4414572719265442,SU
263,SU,11,75,2.448411287964104,4,2.4090788370875282,SU
264,SU,15,58,2.9322135601657884,7,2.8292525248988056,SU
265,SU,16,61,2.1393523403232524,6,6.18055043922079,SU
266,SU,13,85,3.2631398714948077,1,5.704036174685013,SU
267,SU,13,102,3.1263352854245534,0,6.720442408710898,SU
268,SU,16,61,3.3418702355945076,0,10.033659363658664,SU
269,SU,11,85,3.8477237892820715,6,-2.423871099961943,SU
270,SU,11,111,3.5725712207652993,4,-0.30706201118316745,SU
271,SU,10,53,3.895922333135034,3,0.2823551311364545,SU
272,SU,14,105,3.4019719054073843,4,3.1239707890540265,SU
273,SU,17,52,2.08059352718159,2,11.42969455061147,SU
274,SU,12,101,2.9946405442378565,2,3.997777950387979,SU
275,SU,16,60,2.350466523288241,8,3.8205150126301177,SU
276,SU,13,130,2.5395880379434255,4,3.6314547495915326,SU
277,SU,12,130,3.2819733096109016,3,2.0620943396995663,SU
278,SU,16,139,2.6957326408384263,9,1.2230050531551946,SU
279,SU,14,66,2.6240018845497106,7,2.225513284117138,SU
280,SU,11,93,3.0732021314958873,9,-4.049545993309262,SU
281,SU,16,110,3.406289396527255,3,6.046425742397236,SU
282,SU,14,129,2.3250820737496323,5,4.092705699542787,SU
283,SU,10,55,2.964535094854269,7,-2.159366270780649,SU
284,SU,13,127,3.9337828907259107,3,1.7240929170579484,SU
285,SU,13,75,2.1980948995416174,6,2.8784374006106432,SU
286,SU,16,132,3.1501773466320033,0,9.31981604005696,SU
287,SU,14,92,2.230786431561037,5,4.619208760292807,SU
288,SU,14,57,2.806654704008607,9,0.07186557667636784,SU
289,SU,19,103,3.3137636883711976,3,9.329933094170144,SU
290,SU,15,79,2.0825797693296604,3,8.048040209946638,SU
291,SU,17,122,3.9815978249788397,5,3.692954236062201,SU
292,SU,15,71,3.2624727975852332,1,7.960319996001459,SU
293,SU,16,147,3.889429183984521,8,-0.42962729272510636,SU
294,SU,14,135,2.822078136582939,6,1.9880316483059026,SU
295,SU,10,122,3.1893726870889525,9,-5.654179059393575,SU
296,SU,12,69,2.030801572751863,9,-0.7343376255225511,SU
297,SU,10,52,2.411783956917329,3,2.8613706658050964,SU
298,SU,19,136,2.8549117457712594,9,3.9089347104338756,SU
299,SU,10,82,2.868731804041789,5,-0.49021866534890624,SU
300,SU,13,63,3.497489649428581,9,-2.293174947511038,SU
